userId,submittedAt,rating,comment,doc_id
id-3,2026-04-29 21:46:26.521000+00:00,7,,6BN8TCNxfeQMy5pcxbAI
id-18,2026-05-07 20:32:06.424000+00:00,9,"Interesantā pieredze, dod spēju izmēģināt savas telpiskās domāšanas spejas, no grūtībam varētu pieminēt kā dažkārt vajadzēja pārdomāt, apskatīt figūras uzmanīgak, lai saprastu, ka tas ir vienādas.",6ZqBzWqAA3t6yNnu5C5C
id-38,2026-05-07 13:36:54.638000+00:00,8,"Loti interesanti - dazreiz figuras, kas no sakuma likas atskirigas, realitate bijusas vienadas",DyqsERFryZLeoUsTTjXu
id-31,2026-05-10 18:30:39.925000+00:00,9,Bez pieredzes diezgan grūti.,FxlSWsQn88eRK7WNb154
id-36,2026-05-11 17:13:14.911000+00:00,9,,GushWelM1NuDtTaycKcJ
id-42,2026-05-07 08:45:53.391000+00:00,8,,H8hV7le2TFjA4aG1V6zS
id-19,2026-04-29 19:37:39.570000+00:00,7,Bija interesanti un aizraujoši,MLlp5uiu5iKrUUXNZKem
id-1,2026-05-10 18:48:30.531000+00:00,9,Diezgan easy,O40wzFVeEaKqGCzAIDc1
id-33,2026-04-29 20:40:56.968000+00:00,8,nice,O6hb2qX4sibcCunhWuG8
id-14,2026-05-09 20:41:49.206000+00:00,7,"Dažreiz uzdevumi bija sarežģīti, bet kopumā tests labi palīdz trenēt telpisko domāšanu.",TAIGf8bB83B7HfgP3VEm
id-9,2026-05-10 19:17:37.404000+00:00,9,,bXWq51JVyr8afLH0Lwvm
id-5,2026-05-03 15:03:07.791000+00:00,8,Ir labi,igbNUohanPuuIAWjlwxq
id-25,2026-05-10 09:58:25.806000+00:00,6,,r16G543K2ulhxhl7W2uC
id-27,2026-05-10 17:18:01.439000+00:00,8,,ryeHqKPrf9KjkIT2mdoL
id-17,2026-05-10 19:04:51.570000+00:00,8,,sQfqxh5EZc8NxJZQjhsh
id-26,2026-05-10 09:30:48.482000+00:00,8,"Interesants papildinājums, bet šķiet, ka nozīmīgi atvieglo uzdevumu.",zTF5SfpmF3MJh3llrwWf
